Bridge Site ID,Longitude,Latitude,District,Country
006f100000efEer,30.32175,-2.19809,all,Rwanda
006f100000d1f3M,29.016558,-2.53305,all,Rwanda
006f100000a86Hj,29.9201,-1.65237,all,Rwanda
006f100000a86HH,29.336944,-1.699166,all,Rwanda
006f100000a86DQ,29.99602,-1.47241,all,Rwanda
006f100000d1fRx,29.517175,-2.231883,all,Rwanda
006f100000d1fPh,29.3787,-2.20151,all,Rwanda
006f100000a86HB,29.4521944,-2.62936,all,Rwanda
006f100000d7ETm,29.715983,-2.402212,all,Rwanda
006f100000a86Fl,29.217288,-2.275825,all,Rwanda
006f100000d1hKH,28.96475,-2.46169,all,Rwanda
006f100000d7wYl,29.47351,-2.11554,all,Rwanda
006f100000d7EVn,29.626729,-1.491395,all,Rwanda
006f100000a86GG,29.59175,-2.67791,all,Rwanda
006f100000d1fVG,29.04348,-2.59176,all,Rwanda
006f100000d7ieX,29.7064,-1.61659,all,Rwanda
006f100000d6wRf,29.6845,-2.30024,all,Rwanda
006f100000d1fSv,29.38988,-2.23068,all,Rwanda
006f100000d7iQ1,29.30402,-1.76314,all,Rwanda
006f100000d7iWd,29.3222,-1.83944,all,Rwanda
006f100000a86Dj,29.838172,-1.971072,all,Rwanda
006f100000a86Dj,29.838172,-1.971072,all,Rwanda
006f100000a86GT,29.59726333,-2.71768,all,Rwanda
006f100000bMK0j,30.10468,-1.47875,all,Rwanda
006f100000cME5M,29.532291,-1.953832,all,Rwanda
006f100000a86GN,29.44955667,-2.66297667,all,Rwanda
006f100000d1hEY,29.04157223,-2.38012159,all,Rwanda
006f100000dhmUv,29.91433,-1.70683,all,Rwanda
006f100000a86Fc,29.559739,-2.312785,all,Rwanda
006f100000d7b03,29.4337,-2.09757,all,Rwanda
006f100000d6kt3,29.73471,-1.93662,all,Rwanda
006f100000eekhP,29.82734,-2.06614,all,Rwanda
006f100000d7iWs,29.3111,-1.8577,all,Rwanda
006f100000d761B,29.83916,-1.56507,all,Rwanda
006f100000d7wYq,29.48612,-2.1484,all,Rwanda
006f100000eekWY,30.27098,-1.4216,all,Rwanda
006f100000ef884,30.26579,-1.88269,all,Rwanda
006f100000d6mY6,29.67251,-2.33542,all,Rwanda
