Bridge Site ID,Latitude,Longitude,Country,Region
1014613,-1.864099,30.23329,Rwanda,Gasabo
1014614,-1.84731,29.99128,Rwanda,Gasabo
1037312,-1.79014269,30.13055207,Rwanda,Gasabo
1014409,-1.530688,30.210441,Rwanda,Gatsibo
1014410,-1.660292,30.461698,Rwanda,Gatsibo
1014411,-1.633869,30.338833,Rwanda,Gatsibo
1014412,-1.684211,30.350028,Rwanda,Gatsibo
1014413,-1.658066,30.462945,Rwanda,Gatsibo
1014414,-1.6296,30.343077,Rwanda,Gatsibo
1014419,-1.576221,30.201582,Rwanda,Gatsibo
1014420,-1.629849,30.379612,Rwanda,Gatsibo
1014532,-1.65754,30.2992,Rwanda,Gatsibo
1014533,-1.65055,30.30473,Rwanda,Gatsibo
1014534,-1.665,30.29284,Rwanda,Gatsibo
1014535,-1.57761,30.20642,Rwanda,Gatsibo
1014536,-1.59976,30.20891,Rwanda,Gatsibo
1014537,-1.60164,30.19772,Rwanda,Gatsibo
1014602,-1.758415,30.255139,Rwanda,Gatsibo
1014603,-1.713697,30.358427,Rwanda,Gatsibo
1007364,-1.47241,29.99602,Rwanda,Gicumbi
1007366,-1.46707,29.99598,Rwanda,Gicumbi
1007368,-1.59132,30.01386,Rwanda,Gicumbi
1007372,-1.48547,29.99506,Rwanda,Gicumbi
1009700,,,Rwanda,Gicumbi
1009702,-1.61168,30.15833,Rwanda,Gicumbi
1009703,-1.60178,30.15318,Rwanda,Gicumbi
1009704,-1.44911,30.04685,Rwanda,Gicumbi
1009705,-1.464697,30.056749,Rwanda,Gicumbi
1009706,-1.46305,30.0909,Rwanda,Gicumbi
1009707,-1.65897,30.114,Rwanda,Gicumbi
1009710,-1.7012,30.20941,Rwanda,Gicumbi
1009711,-1.47875,30.10468,Rwanda,Gicumbi
1009712,-1.44522,30.08827,Rwanda,Gicumbi
1009713,-1.55224,30.16326,Rwanda,Gicumbi
1009715,-1.51969,30.15237,Rwanda,Gicumbi
1009716,-1.54881,30.13056,Rwanda,Gicumbi
1010572,-1.57746,30.13654,Rwanda,Gicumbi
1010573,-1.59687,30.15019,Rwanda,Gicumbi
1010577,-1.539721,30.127624,Rwanda,Gicumbi
1010578,-1.675363,30.097712,Rwanda,Gicumbi
1010580,-1.575188,30.144215,Rwanda,Gicumbi
1010581,-1.58735,30.14216,Rwanda,Gicumbi
1010840,-1.455716,30.0494,Rwanda,Gicumbi
1010843,-1.6623,30.08107,Rwanda,Gicumbi
1010908,-1.71461,30.08255,Rwanda,Gicumbi
1010915,-1.71943,30.11859,Rwanda,Gicumbi
1011330,-1.43057,30.0783,Rwanda,Gicumbi
1011331,-1.70215,30.07467,Rwanda,Gicumbi
1011332,-1.44338889,30.02083333,Rwanda,Gicumbi
1011378,-1.56366667,30.16777778,Rwanda,Gicumbi
1012698,-1.59361,30.01151,Rwanda,Gicumbi
1013571,-2.46509,29.94044,Rwanda,Gisagara
1013572,-2.40829,29.9468,Rwanda,Gisagara
1013573,-2.434,29.93238,Rwanda,Gisagara
1013574,-2.50203,29.91714,Rwanda,Gisagara
